name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,30/01/2018,2.8,-2.9,0.7,0.6,-5.9,-2.5,-3.5,74.7,1.1,100,45.83,"rain,snow",0.1,0.1,69.9,23.8,356.1,1015.8,93.5,14.3,53.2,4.5,2,,2018-01-30T07:07:54,2018-01-30T17:11:15,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,31/01/2018,1.6,-6.7,-2.4,-0.8,-12,-6.8,-10.9,53.1,0.464,100,8.33,"rain,snow",0,0,73.4,33.5,251.3,1021.8,6.6,16,132.9,11.6,6,,2018-01-31T07:06:58,2018-01-31T17:12:29,0.5,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,01/02/2018,6.2,0,3.5,6.1,-5.3,1.1,-3.3,61.1,0.037,100,12.5,rain,0,0,77.8,20.4,241.1,1014.2,54,16,62.5,5.6,3,,2018-02-01T07:06:01,2018-02-01T17:13:43,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,02/02/2018,4.4,-7.2,-1.3,4.4,-12.8,-4.5,-8.2,61,226.78,100,41.67,"rain,snow",0,0,74,15.1,296.6,1016.8,71,15.9,102.9,8.8,5,,2018-02-02T07:05:02,2018-02-02T17:14:58,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,03/02/2018,0.6,-7.9,-3.8,-3.6,-15.1,-9.6,-12.2,52.5,0,0,0,,0,0,54,25.3,253.5,1028.8,12.5,16,126.7,10.8,5,,2018-02-03T07:04:01,2018-02-03T17:16:12,0.6,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,04/02/2018,7.8,-1.1,3.1,7.2,-6.3,0.4,-1.6,72.5,21.768,100,41.67,rain,0,0,33.5,21.7,226.7,1018.5,95.1,14.7,47.3,4,3,,2018-02-04T07:02:58,2018-02-04T17:17:26,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,05/02/2018,5,-2.2,1.6,2.9,-7,-1.4,-5.5,62.7,1.671,100,20.83,"rain,snow",0,0,83.6,15.2,270.9,1014.7,25.5,15.6,146.7,12.7,6,,2018-02-05T07:01:54,2018-02-05T17:18:41,0.67,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,06/02/2018,2.9,-2.8,0.3,0.7,-5.3,-2.4,-7.8,54.9,0.934,100,12.5,"rain,snow",0,0,81.5,23.4,262.3,1028,44.8,16,53.3,4.5,3,,2018-02-06T07:00:49,2018-02-06T17:19:55,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,07/02/2018,7.7,-0.7,2.1,5.6,-7,-2.3,-0.9,80.9,2.189,100,58.33,"rain,snow",0,0,59.4,29.4,32,1022.8,70.1,14.1,14.2,1.2,1,,2018-02-07T06:59:42,2018-02-07T17:21:09,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,08/02/2018,2.7,-2.8,-0.3,1,-7,-3.7,-8.1,56.4,0.464,100,8.33,"rain,snow",0,0,77.8,21.8,284.1,1026.1,38.4,16,154.1,13.2,6,,2018-02-08T06:58:33,2018-02-08T17:22:23,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,09/02/2018,3.4,-2.2,0,2.2,-7,-3.5,-6.6,61.6,0,0,0,,0,0,53.6,16.1,227.1,1032.5,28.3,16,81.5,7,5,,2018-02-09T06:57:23,2018-02-09T17:23:37,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,10/02/2018,10.5,3.4,6.6,10.5,2.6,5.7,4.7,87.6,8.703,100,45.83,rain,0,0,55.4,14.1,309.7,1023.1,79.3,12.6,46.4,4,3,,2018-02-10T06:56:12,2018-02-10T17:24:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,11/02/2018,15.9,6.2,10.6,15.9,4.9,9.8,10,96.3,250.133,100,87.5,rain,0,0,29.5,20,323.1,1014.4,99.9,12.3,20.9,1.7,1,,2018-02-11T06:54:59,2018-02-11T17:26:04,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,12/02/2018,16.9,2.1,8.3,16.9,-0.6,7.1,0,58.6,1.804,100,12.5,rain,0,0,63,14.6,302.3,1025.7,57.7,16,73.4,6.3,4,,2018-02-12T06:53:45,2018-02-12T17:27:17,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
new york,13/02/2018,4.2,-1.3,1.1,2.2,-6.3,-2.3,-7.2,55.5,0.464,100,8.33,"rain,snow",0,0,73.5,20.2,67,1040.8,19.3,15.9,159.7,13.7,6,,2018-02-13T06:52:29,2018-02-13T17:28:30,0.93,"Snow, Rain",Clear conditions throughout the day with late afternoon rain or snow.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,14/02/2018,11.1,1.7,6.1,11.1,-1.5,4.2,0.5,68.2,0.037,100,8.33,rain,0,0,73.8,14.4,247.6,1025.6,79,16,107.9,9.3,5,,2018-02-14T06:51:13,2018-02-14T17:29:43,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,15/02/2018,14.4,6.8,10.2,14.4,5.2,9.5,8,86.3,1.387,100,33.33,rain,0,0,70.4,12.9,257.6,1010.9,70.9,14.4,59.4,5.1,2,,2018-02-15T06:49:55,2018-02-15T17:30:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,16/02/2018,13.9,3.3,10.6,13.9,0.7,10.2,7,79.9,2.704,100,62.5,rain,0,0,51.8,13.5,273.2,1006.3,69.3,14.2,39.1,3.4,2,,2018-02-16T06:48:36,2018-02-16T17:32:08,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,17/02/2018,4.9,-1.2,1.7,2.8,-3.3,-1.2,-4.8,63.7,1.615,100,29.17,"rain,snow",1,0.4,37.1,19.9,53.9,1025.1,26.3,13.7,126.8,10.9,7,,2018-02-17T06:47:15,2018-02-17T17:33:20,0.06,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,18/02/2018,9.2,1.1,4.7,8.7,-2.5,3.2,-2.2,64,1.245,100,25,"rain,snow",0.6,1.3,86.8,14.7,274.5,1024.2,30.4,15.7,179,15.3,7,,2018-02-18T06:45:54,2018-02-18T17:34:32,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,19/02/2018,8.9,3.3,6.5,8.9,0.7,5.1,2.4,76.2,222.068,100,20.83,rain,0,0.3,35.3,13,209.1,1030.8,58.9,14,79.9,7,4,,2018-02-19T06:44:31,2018-02-19T17:35:43,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,20/02/2018,20,6.8,13,20,6.1,12.4,10.3,85.4,0.464,100,8.33,rain,0,0.1,72,15,259.3,1026.1,65.5,10.1,95.5,8.2,5,,2018-02-20T06:43:08,2018-02-20T17:36:55,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,21/02/2018,24.4,10.7,17.3,24.4,10.7,17.3,13.3,78.5,0.059,100,4.17,rain,0,0,76,18.2,255.1,1025.2,58.2,15,174.6,14.9,6,,2018-02-21T06:41:43,2018-02-21T17:38:05,0.21,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"725,053,947,287,205,000,000,000,000,000,000"
new york,22/02/2018,13.9,3.4,7.5,13.9,-0.8,4.5,2.4,71.4,0.636,100,33.33,rain,0,0,44.6,30.8,39.7,1035,100,15.4,30,2.6,2,,2018-02-22T06:40:17,2018-02-22T17:39:16,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,23/02/2018,5,2.8,3.9,5,-1.5,0.7,2.1,87.9,0.328,100,25,rain,0,0,31.7,23.7,44.5,1032.9,100,14.6,22.7,1.9,1,,2018-02-23T06:38:51,2018-02-23T17:40:26,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,24/02/2018,12.2,5.1,7.9,12.2,1.7,6.5,5.1,83.1,1.961,100,29.17,rain,0,0,70.2,17.8,282.8,1021.5,87.3,15.1,63,5.4,3,,2018-02-24T06:37:23,2018-02-24T17:41:36,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,25/02/2018,6.7,5.6,6,6.2,0.8,3,4.5,90.1,16.019,100,58.33,rain,0,0,47.9,30.7,42.7,1017.7,100,14.6,22.3,1.8,1,,2018-02-25T06:35:55,2018-02-25T17:42:46,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,26/02/2018,10.9,6.2,8,10.9,3.6,6.7,0.8,63.1,0.927,100,12.5,rain,0,0,68.4,13.1,257.6,1019.9,30.5,16,72.1,6.2,4,,2018-02-26T06:34:26,2018-02-26T17:43:55,0.38,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york,27/02/2018,14.3,4.3,8.3,14.3,1.7,7.2,-3.6,43.8,1.864,100,25,rain,0,0,76,16.1,236.9,1026.3,1.8,16,199.7,17.3,7,,2018-02-27T06:32:56,2018-02-27T17:45:04,0.42,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
new york,28/02/2018,16.2,4.4,9.8,16.2,2.1,8.7,0,51.3,1.635,100,16.67,rain,0,0,83.2,18,251.2,1016.9,20.7,16,179.7,15.5,7,,2018-02-28T06:31:25,2018-02-28T17:46:13,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
